"Questionnaire","Item","Category1","Category2","Category3","Category4","Category5","Category6"
"Dysfunctional attitude scale","""15.If other people know what you are really like, they will think less of you.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""16.I am nothing if a person I love doesn't love me,""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""17. One can get pleasure from an activity regardless of the end result.""","Affect","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale","""18.People  should have a reasonable likelihood of success before undertaking anything.""","Cognition","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale","""19.My value as a person depends greatly on what others think of me.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""20.If I don't set the highest standards for myself, I am likely to end up a second rate person.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""21.If I am to be a worthwhile person, I must be truly outstanding in at least one major respect.""","Self","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale","""22.People who have good ideas are more worthy than those who do not.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""23.I should be upset if I make a mistake.""","Affect","Self",NA,NA,NA,NA
"Dysfunctional attitude scale","""24.My own opinions of myself are more important than other's opinions of me.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""25.To be a good, moral, worthwhile person r must help everyone who needs it.""","Self","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale","""26.If I ask a question, it makes me look inferior.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""27.It is awful to be disapproved of by people important to you.""","Affect","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""28. If you don't have other people to lean on you are bound to be sad.""","Affect","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""29.I can reach important goals, without slave driving myself.""","Self","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale","""30.It is possible for a person to be scolded and not get upset.""","Affect","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""31.I cannot trust other people because they might be cruel to me.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""32.If others dislike you, you cannot be happy.""","Affect","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""33.It is best to give up your own interests in order to please other people.""","Motivation","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""34.My happiness depends more on other people than it does on me.""","Affect","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""35.I do not need the approval of other people in order to be happy.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""36.If a person avoids problems, the problems tend to go away""","Cognition","Overt Behavior",NA,NA,NA,NA
"Dysfunctional attitude scale","""37.I can be happy even if I miss out on many of the good things in life.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""38.What other people think about me is very important.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""39.Being isolated from others is bound to lead to unhappiness.""","Affect","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""40. I can Find happiness without being loved by another person.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""41.you can be a happy person, without going out of your way in order to please other people.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""42.I have to impress new acquaintances with my charm, intelligence, or wit or they won't like me.""","Self","Overt Behavior",NA,NA,NA,NA
"Dysfunctional attitude scale","""43. If I put other people  needs before my own, they should help me -when I want them to do something for me.""","Motivation","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""44.It is shameful for a person to display his weaknesses""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""45.People will like me even if I im not successful.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""46.People who have the marks of success (good looks, fame, wealth) are bound to be happier than people who do not.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""47.I should try to impress other people if I want them to like me""","Self","Overt Behavior",NA,NA,NA,NA
"Dysfunctional attitude scale","""48.If a person I love does not love me, it means I am unloveable""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""49.I ought to be able to solve my problems quickly and withdut a great deal of effort.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""50.: If a person is in different to me, it means he does not like me.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""51.I should be able to please everybody.""","Self","Overt Behavior",NA,NA,NA,NA
"Dysfunctional attitude scale","""52.Others can care for me even if they know all my weaknesses.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""53.If people whom I care about do not care for me, it is awful.""","Affect","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""54.Criticism need not upset the person who receives the criticism.""","Affect","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""55.My life is wasted unless,I am a success.""","Self","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale","""56.People shonld prepare for the worst or they will be disappointed.""","Cognition","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""57.I must be a useful productive  creative person or life has no purpose.""","Self","Motivation",NA,NA,NA,NA
"Dysfunctional attitude scale",""" 58.A person should think less of himself if other people do not accept him.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""59.I do not need other people's approval for me to be happy,""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""60.I can enjoy myself even when others 'do not like me.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""61.My value as a person depends greatly on what others think of me.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""62. If I make a foolish statement, it means am a foolish person""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""63.If a person has to be alone for a long period of time, it follows that he has to feel. lonely.""","Affect","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""64.A person should be able to control whathappens to him.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""65.If a person is not a success, then his life Is meaningless.""","Self","Cognition",NA,NA,NA,NA
"Dysfunctional attitude scale","""66.A person doesn't need to be well liked in order to be happy.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""67.If someone performs a selfish act, this means he is a selfish person.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""68.I should always have complete control over my feelings.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""69.I should be happy all the time.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""70.If people consider me unattractive it need not upset me.""","Self","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""71.Whenever I take a chance or risk I am only looking for trouble.""","Cognition","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""72.A person cannot change his emotional ,reactions even if he knows they are harmful to him.""","Cognition","Affect",NA,NA,NA,NA
"Dysfunctional attitude scale","""73. I may be able to influence other people's behavior but I cannot control it.""","Cognition","Overt Behavior",NA,NA,NA,NA
"Dysfunctional attitude scale","""74.People will reject you if they know your weaknesses.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""75. People should be criticized for their mistakes.""","Cognition","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""76. One should look for a practical solution to problems rather than a perfect solution""","Cognition","Overt Behavior",NA,NA,NA,NA
"Dysfunctional attitude scale","""77.If I do well, it probably is due to chance if I do badly, it is probably my own fault.""","Cognition","Self",NA,NA,NA,NA
"Dysfunctional attitude scale","""78.The way to get people to like you is to impress them with your personality.""","Self","Overt Behavior",NA,NA,NA,NA
"Dysfunctional attitude scale","""79.Turning to someone else for advice or help is an admissiciri ofweaknesses.""","Self","Context",NA,NA,NA,NA
"Dysfunctional attitude scale","""80.A person should do well at everything he undertakes.""","Self","Motivation ",NA,NA,NA,NA
"Social competence scale parent","""My child accepts things not going his/her way.""","Affect","Self","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child copes well with failure.""","Affect","Self","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child thinks before acting.""","Cognition","Attention","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child resolves problems with friends alone.""","Cognition","Context","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child can calm down when excited.""","Affect","Self","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child does what told to do.""","Motivation","Overt Behavior",NA,NA,NA,NA
"Social competence scale parent","""My child is good at understanding others' feelings.""","Cognition","Affect","Context",NA,NA,NA
"Social competence scale parent","""My child controls temper when in disagreement.""","affect","Self","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child shares things with others.""","Motivation","Context","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child is helpful to others.""","Motivation","Context","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child listens to others' points of view.""","Attention","Context","Overt Behavior",NA,NA,NA
"Social competence scale parent","""My child can give suggestions without being bossy.""","Cognition","Self","Overt Behavior ",NA,NA,NA
"Weight efficacy lifestyle questionnaire",". 1.I can resist eating when I am anxious (nervous).","affect","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","2.I can resist eating when I am depressed (or down).","affect","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","3.I can resist eating when I am angry (or irritable).","affect","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","4.I can resist eating when I have experienced failure.","Cognition","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","5.I can control my eating on the weekends.","Self","Overt Behavior","Context",NA,NA,NA
"Weight efficacy lifestyle questionnaire","6.I can resist eating when there are many different kinds of food available.","Attention","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","7.I can resist eating even when I am at a party.","Context","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","8.I can resist eating even when high-calorie foods are available.","Attention","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","9.I can resist eating even when I have to say ""no"" to others.","Motivation","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","10.I can resist eating even when I feel it's impolite to refuse a second helping.","Cognition","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","11.I can resist eating even when others are pressuring me to eat.","Context","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","12.I can resist eating even when I think others will be upset if I don't eat.","Cognition","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","13.I can resist eating when I feel physically run down.","affect","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","14.I can resist eating even when I have a headache.","Context","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","15.I can resist eating when I am in pain.","Context","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","16.I can resist eating when I feel uncomfortable.","affect","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","17.I can resist eating when I am watching TV.","Context","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","18.I can resist eating when I am reading.","Context","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","19.I can resist eating just before going to bed.","Context","Self","Overt Behavior",NA,NA,NA
"Weight efficacy lifestyle questionnaire","20.I can resist eating when I am happy.","affect","Self","Overt Behavior ",NA,NA,NA
"UCLA loneliness scale","""1.How often do you feel that you are """"in tune"""" with the people around you?""","Cognition","Affect",NA,NA,NA,NA
"UCLA loneliness scale","2.How often do you feel that you lack companionship?","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","3.How often do you feel that there is no one you can turn to?","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","4.How often do you feel alone?","Affect","Self",NA,NA,NA,NA
"UCLA loneliness scale","5.How often do you feel part of a group of friends?","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","""6.How often do you feel that you have a lot in common with the people around you?""","Cognition","Affect",NA,NA,NA,NA
"UCLA loneliness scale","7.How often do you feel that you are no longer close to anyone?","Affect","Self",NA,NA,NA,NA
"UCLA loneliness scale","""8.How often do you feel that your interests and ideas are not shared by those around you?""","Cognition","Affect",NA,NA,NA,NA
"UCLA loneliness scale","9.How often do you feel outgoing and friendly?","Affect","Overt Behavior",NA,NA,NA,NA
"UCLA loneliness scale","10. How often do you feel close to people?","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","11.How often do you feel left out?","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","""12.How often do you feel that your relationships with others are not meaningful?""","Cognition","Affect",NA,NA,NA,NA
"UCLA loneliness scale","13.How often do you feel that no one really knows you well?","Cognition","Self",NA,NA,NA,NA
"UCLA loneliness scale","14.How often do you feel isolated from others?","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","""15.How often do you feel you can find companionship when you want it?""","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","""16.How often do you feel that there are people who really understand you?""","Cognition","Affect",NA,NA,NA,NA
"UCLA loneliness scale","17.How often do you feel shy?","Affect","Self",NA,NA,NA,NA
"UCLA loneliness scale","""18.How often do you feel that people are around you but not with you?""","Cognition","Affect",NA,NA,NA,NA
"UCLA loneliness scale","19.How often do you feel that there are people you can talk to?","Affect","Context",NA,NA,NA,NA
"UCLA loneliness scale","20.How often do you feel that there are people you can turn to?","Affect","Context ",NA,NA,NA,NA
"Avoidance and fusion questionnaire","1.""My life won't be good until I feel happy.""","Affect","Motivation","Self",NA,NA,NA
"Avoidance and fusion questionnaire","2.""My thoughts and feelings mess up my life.""","Cognition","Affect","Self",NA,NA,NA
"Avoidance and fusion questionnaire","3.""The bad things I think about myself must be true.""","Cognition","Self",NA,NA,NA,NA
"Avoidance and fusion questionnaire","4.""If my heart beats fast there must be something wrong with me.""","Affect","Cognition","Self",NA,NA,NA
"Avoidance and fusion questionnaire","5.""I stop doing things that are important to me whenever I feel bad.""","Affect","Motivation","Overt Behavior",NA,NA,NA
"Avoidance and fusion questionnaire","6.""I do worse in school when I have thoughts that make me feel sad.""","Cognition","Affect","Overt Behavior","Context",NA,NA
"Avoidance and fusion questionnaire","7.""I am afraid of my feelings.""","Affect","Self",NA,NA,NA,NA
"Avoidance and fusion questionnaire","8.""I can't be a good friend when I feel upset.""","Affect","Self","Overt Behavior","Context",NA,NA
"Avoidance and fusion questionnaire","9.""While walking, I am aware of the sensations in my body.""","Attention","Overt Behavior",NA,NA,NA,NA
"Avoidance and fusion questionnaire","10.""I can describe my feelings well.""","Cognition","Affect",NA,NA,NA,NA
"Avoidance and fusion questionnaire","11.""I criticize myself for having irrational emotions and thoughts.""","Cognition","Affect","Self",NA,NA,NA
"Avoidance and fusion questionnaire","12.""I can perceive emotions without reacting to them.""","Attention","Affect",NA,NA,NA,NA
"Avoidance and fusion questionnaire","13.""I am easily distracted.""","Attention",NA,NA,NA,NA,NA
"Avoidance and fusion questionnaire","14.""I am aware of the bodily sensations when I take a bath.""","Attention","Overt Behavior",NA,NA,NA,NA
"Avoidance and fusion questionnaire","15.""I can easily talk about my thoughts and opinions.""","Cognition","Self",NA,NA,NA,NA
"Avoidance and fusion questionnaire","16.""I don’t pay attention to my work as I am busy daydreaming most of the time.""","Attention","Overt Behavior",NA,NA,NA,NA
"Avoidance and fusion questionnaire","17.""I can watch my feelings without getting attached to them.""","Attention","Affect",NA,NA,NA,NA
"Avoidance and fusion questionnaire","18.""I correct myself when I think the way I shouldn’t.""","Cognition","Self","Overt Behavior",NA,NA,NA
"Avoidance and fusion questionnaire","19.""I can feel how eating and drinking affect my body and mind.""","Attention","Overt Behavior",NA,NA,NA,NA
"Avoidance and fusion questionnaire","20.""I find it hard to express what I feel.""","Cognition","Affect",NA,NA,NA,NA
"Avoidance and fusion questionnaire","21.""I am easily distracted.""","Attention",NA,NA,NA,NA,NA
"Avoidance and fusion questionnaire","22.""I am aware that some of my thoughts are not normal, and I know that I shouldn’t feel that way.""","Cognition","Self",NA,NA,NA,NA
"Avoidance and fusion questionnaire","23.""I can feel pure sensations like the wind or the sunlight touching my skin.""","Attention",NA,NA,NA,NA,NA
"Avoidance and fusion questionnaire","24.""Sometimes I cannot find words to express what I feel.""","Cognition","Affect",NA,NA,NA,NA
"Avoidance and fusion questionnaire","25.""I judge my thoughts as good or bad.""","Cognition","Self",NA,NA,NA,NA
"Avoidance and fusion questionnaire","26.""I find it difficult to sustain focus.""","Attention",NA,NA,NA,NA,NA
"Avoidance and fusion questionnaire","27.""I step back when I catch myself thinking something negative or distressing.""","Cognition","Self","Overt Behavior",NA,NA,NA
"Avoidance and fusion questionnaire","28.""I can pay attention to the clock ticking, birds chirping, and cars passing.""","Attention",NA,NA,NA,NA,NA
"Avoidance and fusion questionnaire","29.""I think before reacting under stressful situations.""","Cognition","Overt Behavior",NA,NA,NA,NA
"Avoidance and fusion questionnaire","30.""I find it difficult to describe my bodily sensations in words.""","Cognition","Affect",NA,NA,NA,NA
"Avoidance and fusion questionnaire","31.""I sometimes feel that I am not in complete awareness of myself.""","Attention","Self",NA,NA,NA,NA
"Avoidance and fusion questionnaire","32.""I can calm down soon after experiencing distressing thoughts and impulses.""","Cognition","Affect","Overt Behavior ",NA,NA,NA
"Acceptance and action questionnaire","1.""My painful experiences and memories make it difficult for me to live a life that I would value.""","Cognition","Affect","Self",NA,NA,NA
"Acceptance and action questionnaire","2.""I'm afraid of my feelings.""","Affect","Attention",NA,NA,NA,NA
"Acceptance and action questionnaire","3.""I worry about not being able to control my worries and feelings.""","Cognition","Affect","Attention",NA,NA,NA
"Acceptance and action questionnaire","4.""My painful memories prevent me from having a fulfilling life.""","Cognition","Affect","Self",NA,NA,NA
"Acceptance and action questionnaire","5.""Emotions cause problems in my life.""","Affect","Cognition",NA,NA,NA,NA
"Acceptance and action questionnaire","6.""It seems like most people are handing their lives better than I am.""","Cognition","Self",NA,NA,NA,NA
"Acceptance and action questionnaire","7.""Worries get in the way of my success.""","Cognition","Affect","Motivation",NA,NA,NA
"Anxiety sensitivity index","""1.When my stomach is upset, I worry that I might be seriously ill.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""2.When I notice my heart skipping a beat, I worry that there is something seriously wrong with me.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""3. When I feel pain in my chest, I worry that I’m going to have a heart attack.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""4.When my chest feels tight, I get scared that I won’t be able to breathe properly.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""5.When my throat feels tight, I worry that I could choke to death.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""6.It scares me when my heart beats rapidly.""","Affect","Attention",NA,NA,NA,NA
"Anxiety sensitivity index","""7.When my thoughts seem to speed up, I worry that I might be going crazy.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""8.When my mind goes blank, I worry there is something terribly wrong with me.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""9.When I feel “spacey” or spaced out I worry that I may be mentally ill.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""10.When I have trouble thinking clearly, I worry that there is something wrong with me.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""11. When I cannot keep my mind on a task, I worry that I might be going crazy.""","Affect","Cognition","Attention",NA,NA,NA
"Anxiety sensitivity index","""12.It scares me when I am unable to keep my mind on a task.""","Affect","Attention",NA,NA,NA,NA
"Anxiety sensitivity index","""13. I worry that other people will notice my anxiety.""","Affect","Cognition","Self",NA,NA,NA
"Anxiety sensitivity index","""14. When I tremble in the presence of others, I fear what people might think of me.""","Affect","Cognition","Self","Overt Behavior",NA,NA
"Anxiety sensitivity index","""15.It scares me when I blush in front of people.""","Affect","Self","Overt Behavior",NA,NA,NA
"Anxiety sensitivity index","""16.When I begin to sweat in a social situation, I fear people will think negatively of me.""","Affect","Cognition","Self","Overt Behavior","Context",NA
"Anxiety sensitivity index","""17. I think it would be horrible for me to faint in public.""","Cognition","Self","Context",NA,NA,NA
"Anxiety sensitivity index","""18. It is important for me not to appear nervous.""","Motivation","Self","Overt Behavior ",NA,NA,NA
"Believability of anxious thoughts","""1.Unusual body sensations are scary and something I need to act on to reduce or get rid of before I can do anything else.""","Affect","Attention","Cognition",NA,NA,NA
"Believability of anxious thoughts","2. My anxious thoughts and feelings are not normal.","Cognition","Affect",NA,NA,NA,NA
"Believability of anxious thoughts","""3.Scanning my body for signs and symptoms of anxiety is important to keep me safe.""","Attention","Cognition",NA,NA,NA,NA
"Believability of anxious thoughts","""4. When I am very anxious or afraid there is a good chance that I might be dying.""","Cognition","Affect",NA,NA,NA,NA
"Believability of anxious thoughts","5.I could lose control of myself when I feel anxious or afraid.","Affect","Self",NA,NA,NA,NA
"Believability of anxious thoughts","6. I must stay in control of my Affects.","Affect","Self",NA,NA,NA,NA
"Believability of anxious thoughts","7.I must do something about my anxiety or fear when it shows up.","Affect","Motivation",NA,NA,NA,NA
"Believability of anxious thoughts","""8. When unpleasant thoughts occur, I must push them out of my mind.""","Cognition","Affect",NA,NA,NA,NA
"Believability of anxious thoughts","""9.When I feel bad, I must fight the feeling in order to make it go away.""","Affect","Motivation",NA,NA,NA,NA
"Believability of anxious thoughts","10. My happiness and success depends on how good I feel.","Affect","Cognition",NA,NA,NA,NA
"Believability of anxious thoughts","""11.I need to get a handle on my anxiety and fear for me to have the life I want.""","Affect","Motivation",NA,NA,NA,NA
"Believability of anxious thoughts","12.Appearing nervous is not good and causes me to suffer.","Affect","Self",NA,NA,NA,NA
"Believability of anxious thoughts","""13.I can’t really do the things that I want to do when I have anxiety and fear.""","Affect","Motivation",NA,NA,NA,NA
"Believability of anxious thoughts","""14.If I were like other people, I would be able to get a grip on my anxious thoughts and feelings.""","Self","Cognition",NA,NA,NA,NA
"Believability of anxious thoughts","15. My anxious thoughts and feelings are a problem.","Affect","Cognition",NA,NA,NA,NA
"Believability of anxious thoughts","""16. I am sure to be embarrassed and make a fool of myself when other people notice how nervous and shaky I feel.""","Affect","Self","Context ",NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going to throw up.""","Affect","Cognition",NA,NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going to pass out.""","Affect","Cognition",NA,NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I must have a brain tumor.""","Cognition","Affect",NA,NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I will have a heart attack.""","Cognition","Affect",NA,NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I will choke to death.""","Affect","Cognition",NA,NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going to act foolish.""","Cognition","Affect","Self",NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going blind.""","Cognition","Affect",NA,NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I will not be able to control myself.""","Cognition","Affect","Self",NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I will hurt someone.""","Cognition","Affect","Overt Behavior",NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going to have a stroke.""","Cognition","Affect",NA,NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going to go crazy.""","Cognition","Affect","Self",NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going to scream.""","Affect","Cognition","Overt Behavior",NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I am going to babble or talk funny.""","Cognition","Affect","Overt Behavior",NA,NA,NA
"Bodily sensations questionnaire","""When I am in a feared situation, I am worried I will be paralyzed by fear.""","Affect","Cognition","Overt Behavior ",NA,NA,NA
"Illness perception questionnaire","1.""How much does your illness affect your life?""","Affect","Context",NA,NA,NA,NA
"Illness perception questionnaire","2.""How long do you think your illness will continue?""","Cognition","Attention",NA,NA,NA,NA
"Illness perception questionnaire","3.""How much control do you feel you have over your illness?""","Cognition","Self","Motivation",NA,NA,NA
"Illness perception questionnaire","4.""How much do you think your treatment can help your illness?""","Cognition","Motivation",NA,NA,NA,NA
"Illness perception questionnaire","5.""How much do you experience symptoms from your illness""","Affect","Attention",NA,NA,NA,NA
"Illness perception questionnaire","6.""How concerned are you about your illness?""","Affect","Cognition",NA,NA,NA,NA
"Illness perception questionnaire","7.""How well do you feel you understand your illness?""","Cognition","Self",NA,NA,NA,NA
"Illness perception questionnaire","8.""How much does your illness affect you emotionally?""","Affect","Self ",NA,NA,NA,NA
"Childhood post traumatic cognitions inventory","""1. My reactions since the frightening event mean I have changed for the worse.""","Self","Cognition",NA,NA,NA,NA
"Childhood post traumatic cognitions inventory","""2. My reactions since the frightening event mean something is seriously wrong with me.""","Self","Cognition","Affect",NA,NA,NA
"Childhood post traumatic cognitions inventory","""3. My reactions since the frightening event mean something is seriously wrong with me.""","Self","Cognition","Affect",NA,NA,NA
"Childhood post traumatic cognitions inventory","""4. My reactions since the frightening event mean I will never get over it.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""5. I used to be a happy person but now I am always sad.""","Self","Affect",NA,NA,NA,NA
"Childhood post traumatic cognitions inventory","""6. I will never be able to have normal feelings again.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""7. I’m scared that I’ll get so angry that I’ll break something or hurt someone.""","Affect","Overt Behavior","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""8. My life has been destroyed by the frightening event.""","Self","Cognition","Context",NA,NA,NA
"Childhood post traumatic cognitions inventory","""9. I feel like I am a different person since the frightening event.""","Self","Affect","Context",NA,NA,NA
"Childhood post traumatic cognitions inventory","""10. My reactions since the frightening event show that I must be going crazy.""","Self","Cognition","Affect",NA,NA,NA
"Childhood post traumatic cognitions inventory","""11. Nothing good can happen to me anymore.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""12. Something terrible will happen if I do not try to control my thoughts about the frightening event.""","Cognition","Attention","Affect",NA,NA,NA
"Childhood post traumatic cognitions inventory","""13. The frightening event has changed me forever.""","Self","Cognition","Context",NA,NA,NA
"Childhood post traumatic cognitions inventory","""14. Anyone could hurt me.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""15. Everyone lets me down.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""16. I am a coward.""","Self","Cognition",NA,NA,NA,NA
"Childhood post traumatic cognitions inventory","""17. I don’t trust people.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""18. I am no good.""","Self","Cognition",NA,NA,NA,NA
"Childhood post traumatic cognitions inventory","""19. Small things upset me.""","Affect","Attention","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""20. I can’t cope when things get tough.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""21. I can’t stop bad things from happening to me.""","Cognition","Affect","Self",NA,NA,NA
"Childhood post traumatic cognitions inventory","""22. I have to watch out for danger all the time.""","Attention","Cognition","Affect",NA,NA,NA
"Childhood post traumatic cognitions inventory","""23. Bad things always happen.""","Cognition","Affect",NA,NA,NA,NA
"Childhood post traumatic cognitions inventory","""24. Life is not fair.""","Cognition","Affect",NA,NA,NA,NA
"Childhood post traumatic cognitions inventory","""25. I have to be really careful because something bad could happen.""","Cognition","Affect","Attention ",NA,NA,NA
"Engaged living scale","1. ""I have values that give my life more meaning.""","Motivation","Self",NA,NA,NA,NA
"Engaged living scale","2. ""I know what motivates me in life.""","Cognition","Motivation",NA,NA,NA,NA
"Engaged living scale","3. ""I believe that I’ve found important values to live according to.""","Cognition","Motivation","Self",NA,NA,NA
